name,rank,score
肖申克的救赎,1,9.6
霸王别姬,2,9.5
这个杀手不太冷,3,9.4
阿甘正传,4,9.4
美丽人生,5,9.5
千与千寻,6,9.2
辛德勒的名单,7,9.4
泰坦尼克号,8,9.2
盗梦空间,9,9.2
机器人总动员,10,9.3
海上钢琴师,11,9.2
三傻大闹宝莱坞,12,9.1
忠犬八公的故事,13,9.2
放牛班的春天,14,9.2
大话西游之大圣娶亲,15,9.2
龙猫,16,9.1
教父,17,9.2
楚门的世界,18,9.1
乱世佳人,19,9.2
天堂电影院,20,9.1
触不可及,21,9.1
当幸福来敲门,22,8.9
熔炉,23,9.2
无间道,24,9.0
搏击俱乐部,25,9.0
十二怒汉,26,9.4
怦然心动,27,8.9
星际穿越,28,9.1
指环王3：王者无敌,29,9.1
少年派的奇幻漂流,30,9.0
天空之城,31,9.0
鬼子来了,32,9.2
蝙蝠侠：黑暗骑士,33,9.0
罗马假日,34,8.9
活着,35,9.1
大话西游之月光宝盒,36,8.9
两杆大烟枪,37,9.0
飞屋环游记,38,8.9
窃听风暴,39,9.1
飞越疯人院,40,9.0
海豚湾,41,9.3
闻香识女人,42,8.9
V字仇杀队,43,8.8
哈尔的移动城堡,44,8.9
教父2,45,9.1
美丽心灵,46,8.9
指环王2：双塔奇兵,47,8.9
指环王1：魔戒再现,48,8.9
死亡诗社,49,8.9
控方证人,50,9.6
情书,51,8.8
天使爱美丽,52,8.7
美国往事,53,9.1
辩护人,54,9.1
饮食男女,55,9.0
钢琴家,56,9.0
七宗罪,57,8.7
狮子王,58,8.9
被嫌弃的松子的一生,59,8.9
致命魔术,60,8.8
小鞋子,61,9.2
勇敢的心,62,8.8
剪刀手爱德华,63,8.7
疯狂动物城,64,9.2
音乐之声,65,8.9
低俗小说,66,8.7
素媛,67,9.1
本杰明·巴顿奇事,68,8.7
入殓师,69,8.8
沉默的羔羊,70,8.7
黑客帝国,71,8.8
拯救大兵瑞恩,72,8.8
玛丽和马克思,73,8.9
西西里的美丽传说,74,8.7
蝴蝶效应,75,8.7
心灵捕手,76,8.7
春光乍泄,77,8.8
让子弹飞,78,8.7
幽灵公主,79,8.8
第六感,80,8.8
阳光灿烂的日子,81,8.7
